P6	7	head of government	
P17	6	country	assymetric;transitive
P26	8	spouse	symmetry
P27	12	country of citizenship	
P31	15	instance of	
P39	14	position held	
P54	22	member of sports team	assymetric;transitive
P69	23	educated at	
P102	11	member of political party	
P108	10	employer	
P131	1	located in the administrative territorial entity	
P150	18	contains the administrative territorial entity	
P166	17	award received	
P190	5	twinned administrative body	symmetry
P463	9	member of	
P512	4	academic degree	
P551	19	residence	
P579	3	IMA status and/or rank	
P793	21	significant event	
P1346	16	winner	
P1376	0	capital of	assymetric;transitive
P1411	20	nominated for	
P1435	13	heritage designation	
P2962	2	title of chess person	
